recipient_type,location_x,location_y,food_type_preference,priority,hour,day_of_week,step_count,fulfilled_demand
2,6.689882547142286,5.806866214364547,3,1,4,2,5,24.51393498806321
2,3.930977246667604,8.920465551771134,2,1,6,2,7,43.650226792821215
2,5.487337893665861,6.918951976926932,3,2,4,3,29,121.87697748799695
0,8.563242918780924,4.045081271221901,0,2,0,3,25,69.44925222292169
2,3.930977246667604,8.920465551771134,2,1,12,2,13,45.115705341246034
1,9.94550510797341,4.69944513990943,2,1,6,4,55,153.11909413483377
1,9.94550510797341,4.69944513990943,2,1,8,4,57,153.11909413483377
1,4.938937151834346,1.788227092213288,0,0,0,3,25,105.5543579292471
1,5.425402305548993,5.0881407683876,2,2,4,3,29,97.90720169017784
2,6.689882547142286,5.806866214364547,3,1,14,3,39,129.20531087228727
1,5.425402305548993,5.0881407683876,2,2,16,2,17,73.37026033431049
1,4.938937151834346,1.788227092213288,0,0,10,4,59,233.02491871661067
1,9.94550510797341,4.69944513990943,2,1,16,3,41,119.4163320265866
1,5.425402305548993,5.0881407683876,2,2,10,4,59,197.6857960740403
1,4.938937151834346,1.788227092213288,0,0,8,3,33,132.3397786154136
1,5.425402305548993,5.0881407683876,2,2,4,4,53,171.72090381338063
2,3.930977246667604,8.920465551771134,2,1,8,3,33,103.64593127706028
1,4.938937151834346,1.788227092213288,0,0,0,4,49,187.81106449507752
2,5.487337893665861,6.918951976926932,3,2,0,4,49,165.55582837791226
0,8.563242918780924,4.045081271221901,0,2,0,4,49,115.52949588745516
1,9.94550510797341,4.69944513990943,2,1,0,3,25,76.06166314683738
0,4.925176938188639,1.952429877980445,1,1,6,2,7,31.6523749143818
1,9.004180571633304,6.33101457273268,1,0,2,2,3,8.896054180428829
1,4.938937151834346,1.788227092213288,0,0,20,3,45,176.87137210101636
2,6.689882547142286,5.806866214364547,3,1,12,3,37,122.31739549435234
0,8.563242918780924,4.045081271221901,0,2,22,2,23,69.44925222292169
2,5.487337893665861,6.918951976926932,3,2,20,3,45,149.66574893841224
1,4.938937151834346,1.788227092213288,0,0,2,4,51,211.12054272830267
2,3.930977246667604,8.920465551771134,2,1,22,2,23,80.50246600205294
0,8.563242918780924,4.045081271221901,0,2,16,4,65,141.3142002355404
1,5.425402305548993,5.0881407683876,2,2,18,4,67,225.13515956913676
1,4.938937151834346,1.788227092213288,0,0,16,4,65,246.96262930487015
1,5.425402305548993,5.0881407683876,2,2,14,4,63,205.6511183503747
2,5.487337893665861,6.918951976926932,3,2,8,3,33,121.87697748799695
1,9.004180571633304,6.33101457273268,1,0,8,4,57,142.7085942838751
2,5.487337893665861,6.918951976926932,3,2,16,4,65,220.24004247411565
2,5.487337893665861,6.918951976926932,3,2,6,3,31,121.87697748799695
2,3.930977246667604,8.920465551771134,2,1,22,3,47,151.04291768668963
0,8.563242918780924,4.045081271221901,0,2,0,2,1,0.0
1,4.938937151834346,1.788227092213288,0,0,22,2,23,105.5543579292471
2,3.930977246667604,8.920465551771134,2,1,0,4,49,151.04291768668963
2,5.487337893665861,6.918951976926932,3,2,14,3,39,141.35690897878038
2,9.821683433294355,5.166358912710143,3,2,8,4,57,111.20064242131107
2,9.821683433294355,5.166358912710143,3,2,0,3,25,59.32825494454749
1,5.425402305548993,5.0881407683876,2,2,8,4,57,190.06806608854936
0,4.925176938188639,1.952429877980445,1,1,14,3,39,159.01585210925302
0,8.563242918780924,4.045081271221901,0,2,12,4,61,133.15729735797623
2,3.930977246667604,8.920465551771134,2,1,0,3,25,80.50246600205294
2,5.487337893665861,6.918951976926932,3,2,14,2,15,59.01918250586967
2,6.689882547142286,5.806866214364547,3,1,8,4,57,181.10676763343287
1,9.94550510797341,4.69944513990943,2,1,4,2,5,22.54066057654046
2,6.689882547142286,5.806866214364547,3,1,16,2,17,70.38556091084992
2,9.821683433294355,5.166358912710143,3,2,10,4,59,118.85647844656287
2,3.930977246667604,8.920465551771134,2,1,20,2,21,70.57281568341114
1,9.94550510797341,4.69944513990943,2,1,20,3,45,126.05911228677752
1,9.004180571633304,6.33101457273268,1,0,18,3,43,115.79319165876232
2,6.689882547142286,5.806866214364547,3,1,2,3,27,103.76389005906482
2,5.487337893665861,6.918951976926932,3,2,12,3,37,130.46834020529266
1,5.425402305548993,5.0881407683876,2,2,2,4,51,171.72090381338063
2,5.487337893665861,6.918951976926932,3,2,8,2,9,31.6171264807131
1,9.004180571633304,6.33101457273268,1,0,16,4,65,170.49302567426136
1,4.938937151834346,1.788227092213288,0,0,12,2,13,53.64780608469533
1,9.004180571633304,6.33101457273268,1,0,4,4,53,137.33677732115618
1,4.938937151834346,1.788227092213288,0,0,16,2,17,77.04182006816643
1,5.425402305548993,5.0881407683876,2,2,12,3,37,130.22019076792677
2,9.821683433294355,5.166358912710143,3,2,14,2,15,59.32825494454749
1,9.94550510797341,4.69944513990943,2,1,6,3,31,90.98762290652738
0,8.563242918780924,4.045081271221901,0,2,2,2,3,16.9235335030627
1,4.938937151834346,1.788227092213288,0,0,6,2,7,29.52736937688739
0,4.925176938188639,1.952429877980445,1,1,4,2,5,29.82339715399176
2,9.821683433294355,5.166358912710143,3,2,10,3,35,81.77700803777029
0,8.563242918780924,4.045081271221901,0,2,4,3,29,74.23776246019331
2,9.821683433294355,5.166358912710143,3,2,6,3,31,81.77700803777029
1,9.004180571633304,6.33101457273268,1,0,20,3,45,115.79319165876232
1,9.004180571633304,6.33101457273268,1,0,2,3,27,73.33053056304952
1,5.425402305548993,5.0881407683876,2,2,0,4,49,161.9803749711443
1,9.004180571633304,6.33101457273268,1,0,10,2,11,35.86940408488934
1,4.938937151834346,1.788227092213288,0,0,18,2,19,86.85495371895439
0,4.925176938188639,1.952429877980445,1,1,4,4,53,201.2344367656177
0,4.925176938188639,1.952429877980445,1,1,10,3,35,130.8207037386844
2,5.487337893665861,6.918951976926932,3,2,16,3,41,141.35690897878038
2,6.689882547142286,5.806866214364547,3,1,0,3,25,93.94261575089448
1,9.004180571633304,6.33101457273268,1,0,8,2,9,25.95915975383232
1,9.94550510797341,4.69944513990943,2,1,16,2,17,65.32993661040197
2,6.689882547142286,5.806866214364547,3,1,18,4,67,200.27094808660843
1,5.425402305548993,5.0881407683876,2,2,16,3,41,139.23522748176617
1,5.425402305548993,5.0881407683876,2,2,2,3,27,97.90720169017784
1,5.425402305548993,5.0881407683876,2,2,4,2,5,20.89296349064349
0,8.563242918780924,4.045081271221901,0,2,20,4,69,141.3142002355404
1,9.004180571633304,6.33101457273268,1,0,4,3,29,73.33053056304952
1,9.004180571633304,6.33101457273268,1,0,10,4,59,145.1625429068715
2,5.487337893665861,6.918951976926932,3,2,0,2,1,0.0
2,9.821683433294355,5.166358912710143,3,2,0,2,1,0.0
2,3.930977246667604,8.920465551771134,2,1,16,4,65,181.2579290645725
1,9.94550510797341,4.69944513990943,2,1,10,4,59,155.07191555219828
2,3.930977246667604,8.920465551771134,2,1,14,4,63,181.2579290645725
2,9.821683433294355,5.166358912710143,3,2,20,2,21,59.32825494454749
1,5.425402305548993,5.0881407683876,2,2,20,3,45,158.01538467091447
0,8.563242918780924,4.045081271221901,0,2,14,3,39,108.16418090438982
2,9.821683433294355,5.166358912710143,3,2,12,4,61,118.85647844656287
0,4.925176938188639,1.952429877980445,1,1,18,3,43,177.48975728167133
2,6.689882547142286,5.806866214364547,3,1,18,3,43,142.18927161302855
2,6.689882547142286,5.806866214364547,3,1,20,2,21,89.461959542333
1,9.004180571633304,6.33101457273268,1,0,10,3,35,93.09263873129451
0,4.925176938188639,1.952429877980445,1,1,18,2,19,73.53989916890318
1,5.425402305548993,5.0881407683876,2,2,6,2,7,35.87899171475239
1,4.938937151834346,1.788227092213288,0,0,18,3,43,176.87137210101636
1,9.004180571633304,6.33101457273268,1,0,12,2,13,35.86940408488934
2,3.930977246667604,8.920465551771134,2,1,8,2,9,45.115705341246034
0,8.563242918780924,4.045081271221901,0,2,6,2,7,24.74589845212349
2,9.821683433294355,5.166358912710143,3,2,16,3,41,85.64874177953708
1,9.004180571633304,6.33101457273268,1,0,14,4,63,170.49302567426136
2,3.930977246667604,8.920465551771134,2,1,4,2,5,30.165280054930825
1,4.938937151834346,1.788227092213288,0,0,6,4,55,215.21160088758668
2,9.821683433294355,5.166358912710143,3,2,22,3,47,93.96673731546971
2,9.821683433294355,5.166358912710143,3,2,4,4,53,102.81492867723009
0,8.563242918780924,4.045081271221901,0,2,8,3,33,75.85897911032275
0,4.925176938188639,1.952429877980445,1,1,10,4,59,223.25213192876487
0,4.925176938188639,1.952429877980445,1,1,2,3,27,102.47602044157112
0,8.563242918780924,4.045081271221901,0,2,12,2,13,26.175087853853054
1,4.938937151834346,1.788227092213288,0,0,2,3,27,118.87146396834302
0,4.925176938188639,1.952429877980445,1,1,0,3,25,84.32878589042278
0,4.925176938188639,1.952429877980445,1,1,0,2,1,0.0
2,5.487337893665861,6.918951976926932,3,2,12,2,13,52.511666596927306
2,5.487337893665861,6.918951976926932,3,2,2,2,3,10.419120035629852
1,5.425402305548993,5.0881407683876,2,2,6,3,31,118.09625995697397
2,9.821683433294355,5.166358912710143,3,2,8,2,9,34.67849009135646
2,9.821683433294355,5.166358912710143,3,2,16,4,65,121.36747348793487
2,5.487337893665861,6.918951976926932,3,2,8,4,57,196.66785373745097
1,5.425402305548993,5.0881407683876,2,2,18,3,43,155.99143817912096
2,6.689882547142286,5.806866214364547,3,1,12,4,61,189.17803024960944
1,5.425402305548993,5.0881407683876,2,2,22,3,47,160.72395103247706
2,3.930977246667604,8.920465551771134,2,1,16,3,41,113.55869741204054
0,8.563242918780924,4.045081271221901,0,2,18,3,43,108.16418090438982
0,4.925176938188639,1.952429877980445,1,1,14,4,63,233.11543971881488
1,9.004180571633304,6.33101457273268,1,0,2,4,51,137.33677732115618
2,9.821683433294355,5.166358912710143,3,2,20,4,69,129.22664629454593
1,9.94550510797341,4.69944513990943,2,1,14,4,63,160.90026242698914
1,9.94550510797341,4.69944513990943,2,1,4,4,53,143.9604781246245
1,9.004180571633304,6.33101457273268,1,0,16,3,41,99.44110223789582
1,9.004180571633304,6.33101457273268,1,0,8,3,33,87.16702480926234
2,6.689882547142286,5.806866214364547,3,1,8,2,9,41.23230554304875
2,3.930977246667604,8.920465551771134,2,1,18,3,43,126.91873206495396
2,9.821683433294355,5.166358912710143,3,2,14,3,39,85.64874177953708
1,9.94550510797341,4.69944513990943,2,1,2,4,51,143.9604781246245
1,4.938937151834346,1.788227092213288,0,0,20,2,21,86.85495371895439
2,6.689882547142286,5.806866214364547,3,1,10,2,11,48.38410893820095
1,9.004180571633304,6.33101457273268,1,0,0,2,1,0.0
1,9.94550510797341,4.69944513990943,2,1,8,2,9,39.97131984305011
2,9.821683433294355,5.166358912710143,3,2,16,2,17,59.32825494454749
1,4.938937151834346,1.788227092213288,0,0,16,3,41,174.23785444102217
2,5.487337893665861,6.918951976926932,3,2,6,2,7,31.6171264807131
2,6.689882547142286,5.806866214364547,3,1,4,4,53,171.7070035602853
1,9.004180571633304,6.33101457273268,1,0,18,2,19,49.502242088721445
0,8.563242918780924,4.045081271221901,0,2,10,2,11,26.175087853853054
2,5.487337893665861,6.918951976926932,3,2,4,4,53,179.1587550975786
1,9.004180571633304,6.33101457273268,1,0,0,4,49,124.94199938038489
2,6.689882547142286,5.806866214364547,3,1,2,2,3,2.9110519961044856
0,4.925176938188639,1.952429877980445,1,1,16,2,17,44.51032195881589
2,6.689882547142286,5.806866214364547,3,1,6,4,55,181.10676763343287
1,5.425402305548993,5.0881407683876,2,2,8,3,33,118.09625995697397
2,6.689882547142286,5.806866214364547,3,1,20,4,69,200.27094808660843
2,5.487337893665861,6.918951976926932,3,2,2,3,27,121.87697748799695
1,5.425402305548993,5.0881407683876,2,2,12,4,61,197.6857960740403
1,4.938937151834346,1.788227092213288,0,0,18,4,67,272.3387903340246
2,6.689882547142286,5.806866214364547,3,1,0,4,49,155.53948609052358
2,5.487337893665861,6.918951976926932,3,2,10,2,11,52.511666596927306
2,9.821683433294355,5.166358912710143,3,2,10,2,11,42.48063622348762
2,5.487337893665861,6.918951976926932,3,2,10,3,35,130.46834020529266
1,9.94550510797341,4.69944513990943,2,1,12,3,37,105.6391866711718
2,3.930977246667604,8.920465551771134,2,1,20,4,69,181.2579290645725
2,3.930977246667604,8.920465551771134,2,1,12,3,37,113.55869741204054
1,9.94550510797341,4.69944513990943,2,1,8,3,33,90.98762290652738
0,4.925176938188639,1.952429877980445,1,1,10,2,11,39.87985350738613
0,4.925176938188639,1.952429877980445,1,1,8,2,9,33.96218678572075
1,4.938937151834346,1.788227092213288,0,0,22,3,47,187.81106449507752
0,8.563242918780924,4.045081271221901,0,2,2,4,51,115.52949588745516
1,9.004180571633304,6.33101457273268,1,0,4,2,5,19.26195528012058
2,6.689882547142286,5.806866214364547,3,1,14,4,63,200.27094808660843
2,9.821683433294355,5.166358912710143,3,2,8,3,33,81.77700803777029
1,5.425402305548993,5.0881407683876,2,2,6,4,55,190.06806608854936
1,9.004180571633304,6.33101457273268,1,0,14,3,39,99.44110223789582
2,6.689882547142286,5.806866214364547,3,1,10,4,59,189.17803024960944
2,3.930977246667604,8.920465551771134,2,1,2,4,51,153.31349481780157
0,4.925176938188639,1.952429877980445,1,1,12,4,61,223.25213192876487
1,9.94550510797341,4.69944513990943,2,1,4,3,29,76.06166314683738
2,9.821683433294355,5.166358912710143,3,2,2,3,27,72.65344612925225
1,9.004180571633304,6.33101457273268,1,0,6,3,31,87.16702480926234
1,9.94550510797341,4.69944513990943,2,1,18,2,19,65.32993661040197
2,3.930977246667604,8.920465551771134,2,1,16,2,17,45.115705341246034
2,9.821683433294355,5.166358912710143,3,2,18,4,67,129.22664629454593
2,5.487337893665861,6.918951976926932,3,2,18,3,43,149.66574893841224
1,9.004180571633304,6.33101457273268,1,0,0,3,25,73.33053056304952
1,9.94550510797341,4.69944513990943,2,1,20,4,69,173.6062990553553
2,9.821683433294355,5.166358912710143,3,2,4,2,5,26.841441069226168
0,4.925176938188639,1.952429877980445,1,1,12,3,37,132.53835542836111
1,9.004180571633304,6.33101457273268,1,0,14,2,15,35.86940408488934
1,5.425402305548993,5.0881407683876,2,2,20,2,21,85.54868904024887
2,9.821683433294355,5.166358912710143,3,2,6,4,55,111.20064242131107
0,4.925176938188639,1.952429877980445,1,1,20,4,69,239.56579022187373
0,8.563242918780924,4.045081271221901,0,2,20,2,21,62.38602753846075
